title,overview,genres,tagline,vote_average,popularity
Inception,A skilled thief enters dreams to plant an idea into a target's subconscious.,Science Fiction Action Thriller,Your mind is the scene of the crime,8.4,84.0
Interstellar,A team travels through a wormhole in space to ensure humanity's survival.,Science Fiction Drama Adventure,Mankind was born on Earth. It was never meant to die here.,8.4,92.0
The Dark Knight,A vigilante faces a criminal mastermind known as the Joker in Gotham.,Action Crime Drama Thriller,Why so serious?,8.5,96.0
The Dark Knight Rises,Eight years after the Joker's reign of anarchy Batman returns to face Bane.,Action Crime Thriller,The legend ends,7.7,78.0
Batman Begins,A young Bruce Wayne travels to the Far East to train with the League of Shadows.,Action Crime Drama,Evil fears the knight,7.7,75.0
The Prestige,Two rival magicians obsess over creating the ultimate teleportation illusion.,Drama Mystery Thriller,Are you watching closely?,8.2,72.0
Memento,A man with short term memory loss attempts to track down his wife's killer.,Mystery Thriller Crime,Some memories are best forgotten,8.2,65.0
Oppenheimer,The story of J. Robert Oppenheimer and his role in the development of the atomic bomb.,Drama History Biography,The world forever changes,8.1,95.0
The Matrix,A computer hacker learns from mysterious rebels about the true nature of his reality.,Action Science Fiction,Welcome to the real world,8.2,88.0
The Matrix Reloaded,Neo and the rebel leaders estimate that the machine army will reach Zion soon.,Action Science Fiction Adventure,Free your mind,7.0,65.0
Arrival,A linguist communicates with alien visitors to prevent a global catastrophe.,Science Fiction Drama Mystery,Mankind's first encounter with alien intelligence,7.9,71.0
Blade Runner 2049,A blade runner uncovers a long-buried secret that could plunge society into chaos.,Science Fiction Drama Mystery,The key to the future is finally unearthed,8.0,69.0
Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space.,Science Fiction Drama Thriller,Man has made his match... now it's his problem,8.1,70.0
Dune,A gifted young nobleman journeys to the most dangerous planet in the universe.,Science Fiction Adventure Action,A world beyond your experience beyond your imagination,8.0,80.0
Dune: Part Two,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators.,Science Fiction Adventure Action,Long live the fighters,8.5,95.0
Mad Max: Fury Road,Survivors race across a post-apocalyptic desert wasteland fleeing a tyrannical warlord.,Action Adventure Science Fiction,What a lovely day,8.1,75.0
The Lord of the Rings: The Fellowship of the Ring,A meek hobbit begins an epic quest to destroy a powerful and corrupting ring.,Adventure Fantasy Action,One ring to rule them all,8.4,82.0
The Lord of the Rings: The Two Towers,The fellowship members fight on multiple fronts to protect Middle-earth from Sauron.,Adventure Fantasy Action,The fellowship is broken,8.3,78.0
The Lord of the Rings: The Return of the King,Heroes make a courageous final stand against darkness in the battle for Gondor.,Adventure Fantasy Action,The eye of the enemy is moving,8.5,85.0
Gladiator,A former Roman general sets out to exact vengeance against the corrupt emperor.,Action Drama Adventure,What we do in life echoes in eternity,8.2,76.0
Parasite,A struggling low-income family schemes to become employed by a wealthy household.,Drama Thriller Comedy,Act like you own the place,8.5,90.0
Whiplash,A promising young drummer is pushed beyond his limits by an abusive music instructor.,Drama Music,The road to greatness can take you to the edge,8.5,73.0
La La Land,Two ambitious artists pursue love and creative dreams in modern Los Angeles.,Romance Drama Music Comedy,Here's to the fools who dream,8.0,70.0
The Grand Budapest Hotel,A legendary concierge and a lobby boy embark on a quest for a stolen Renaissance painting.,Comedy Drama Adventure,A perfect holiday without leaving home,8.0,65.0
Moonrise Kingdom,Two young lovers flee their New England island town prompting a frantic search.,Comedy Drama Romance,A quirky tale of young love,7.8,60.0
Spirited Away,A ten-year-old girl wanders into a strange world ruled by gods spirits and witches.,Animation Fantasy Adventure Family,The tunnel led Chihiro to a mysterious town,8.5,78.0
Princess Mononoke,A young prince becomes involved in a struggle between the gods of a forest and humans.,Animation Action Adventure Fantasy,The fate of the world rests on the courage of one warrior,8.4,75.0
Howl's Moving Castle,A young woman cursed with an old body meets a wizard in his walking castle.,Animation Adventure Fantasy Romance,The two lived there,8.2,74.0
Toy Story,A cowboy doll feels profoundly threatened when a new futuristic spaceman toy arrives.,Animation Comedy Family,Hang on for the comedy that goes to infinity and beyond,8.3,79.0
Toy Story 3,The toys are mistakenly delivered to a day-care center instead of the attic.,Animation Comedy Family Adventure,No toy gets left behind,8.1,78.0
Finding Nemo,An overprotective clownfish crosses the vast ocean to rescue his abducted son.,Animation Family Adventure Comedy,There are 3.7 trillion fish in the ocean. They're looking for one.,8.1,76.0
Spider-Man: Into the Spider-Verse,Teenager Miles Morales becomes the new Spider-Man and joins other spider heroes.,Animation Action Adventure Science Fiction,Anyone can wear the mask,8.4,83.0
Spider-Man: Across the Spider-Verse,Miles Morales is catapulted across the Multiverse to encounter the Spider Society.,Animation Action Adventure Science Fiction,It's how you wear the mask that matters,8.6,92.0
Get Out,A young Black man visits his white girlfriend's mysterious family estate for the weekend.,Horror Mystery Thriller,Just because you're invited doesn't mean you're welcome,7.8,72.0
The Shining,A struggling writer and his family stay at an isolated snowed-in mountain hotel.,Horror Drama Thriller,All work and no play makes Jack a dull boy,8.2,68.0
Knives Out,A master detective investigates the sudden death of an eccentric wealthy patriarch.,Mystery Comedy Crime Drama,Everyone has a motive. No one has a clue.,7.9,74.0
The Social Network,Harvard students create the social networking site that would become Facebook.,Drama History,You don't get to 500 million friends without making a few enemies,7.8,67.0
Fight Club,An insomniac office worker and an eccentric soap maker form an underground fight club.,Drama Thriller,Mischief. Mayhem. Soap.,8.4,89.0
Pulp Fiction,The lives of two mob hitmen a boxer and a pair of diner bandits intertwine.,Crime Drama Thriller,You won't know the facts until you've seen the fiction,8.5,88.0
The Shawshank Redemption,A banker convicted of murder bonds with a fellow inmate over decades of incarceration.,Drama Crime,Fear can hold you prisoner. Hope can set you free.,8.7,98.0
Forrest Gump,The presidencies of Kennedy and Johnson and other historical events unfold from the perspective of an Alabama man.,Drama Romance Comedy,Life is like a box of chocolates,8.5,90.0
The Godfather,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.,Crime Drama,An offer you can't refuse,8.7,95.0
The Godfather Part II,The early life and career of Vito Corleone in 1920s New York City is portrayed.,Crime Drama,All the power on earth can't change destiny,8.6,90.0
GoodFellas,The rise and fall of mob associate Henry Hill and his friends over three decades.,Crime Drama Biography,Three Decades of Life in the Mafia,8.5,86.0
Titanic,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious R.M.S. Titanic.,Drama Romance,Nothing on Earth could come between them,7.9,88.0
Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn.,Action Adventure Fantasy Science Fiction,Enter the world of Pandora,7.6,90.0
Avatar: The Way of Water,Jake Sully lives with his newfound family on the extrasolar moon Pandora until familiar threats return.,Action Adventure Fantasy Science Fiction,Return to Pandora,7.7,89.0
The Avengers,Earth's mightiest heroes must come together to stop Loki and his alien army.,Action Science Fiction Adventure,Some assembly required,7.7,85.0
Avengers: Infinity War,The Avengers and their allies must sacrifice all to defeat the powerful Thanos.,Action Adventure Science Fiction,An entire universe. Once and for all.,8.3,94.0
